prompt_id,repetition,on_task_completed,off_task_completed,delta_on_minus_off_task_completed,on_strict_full_execution,off_strict_full_execution,delta_on_minus_off_strict_full_execution,on_final_output_usable,off_final_output_usable,delta_on_minus_off_final_output_usable,on_business_send_message_calls,off_business_send_message_calls,delta_on_minus_off_business_send_message_calls,on_blocked_send_message_calls,off_blocked_send_message_calls,delta_on_minus_off_blocked_send_message_calls,on_used_agent_count,off_used_agent_count,delta_on_minus_off_used_agent_count,on_exclusive_branch_violations,off_exclusive_branch_violations,delta_on_minus_off_exclusive_branch_violations,on_exact_protocol_sequence,off_exact_protocol_sequence,delta_on_minus_off_exact_protocol_sequence,on_repeated_agent_task,off_repeated_agent_task,delta_on_minus_off_repeated_agent_task,on_redundant_business_calls,off_redundant_business_calls,delta_on_minus_off_redundant_business_calls,on_output_completeness_score_0_6,off_output_completeness_score_0_6,delta_on_minus_off_output_completeness_score_0_6,on_tool_call_leak_in_final,off_tool_call_leak_in_final,delta_on_minus_off_tool_call_leak_in_final,on_process_score_0_10,off_process_score_0_10,delta_on_minus_off_process_score_0_10,on_duration_seconds,off_duration_seconds,delta_on_minus_off_duration_seconds
travel-simplified,31,True,True,0.0,True,False,1.0,True,True,0.0,8,7,1.0,2,0,2.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,695.793,358.679,337.114
travel-simplified,32,True,True,0.0,True,False,1.0,True,True,0.0,8,13,-5.0,3,0,3.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,5,-5.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,812.712,296.096,516.616
travel-simplified,33,True,False,1.0,True,False,1.0,True,False,1.0,8,6,2.0,1,0,1.0,8,6,2.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,4.25,5.75,636.509,244.919,391.59
travel-simplified,34,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,2,0,2.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,3,-3.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,610.143,422.934,187.209
travel-simplified,35,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,1,0,1.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,3,-3.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,896.203,469.56,426.643
travel-simplified,36,True,True,0.0,True,False,1.0,True,True,0.0,8,14,-6.0,0,0,0.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,6,-6.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,457.031,480.3,-23.269
travel-simplified,37,True,False,1.0,True,False,1.0,True,False,1.0,8,1,7.0,2,0,2.0,8,1,7.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.38,7.62,789.456,26.54,762.916
travel-simplified,38,True,True,0.0,True,False,1.0,True,True,0.0,8,9,-1.0,2,0,2.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,669.68,419.703,249.977
travel-simplified,39,True,False,1.0,True,False,1.0,True,False,1.0,8,1,7.0,1,0,1.0,8,1,7.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.38,7.62,635.298,37.077,598.221
travel-simplified,40,True,True,0.0,False,False,0.0,False,True,-1.0,5,7,-2.0,3,0,3.0,5,6,-1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,1,-1.0,0,5,-5.0,True,False,1.0,4.88,6.25,-1.37,399.133,390.73,8.403
travel-simplified,41,True,True,0.0,True,False,1.0,True,True,0.0,8,7,1.0,3,0,3.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,775.665,259.284,516.381
travel-simplified,42,True,True,0.0,True,False,1.0,True,True,0.0,8,7,1.0,2,0,2.0,8,6,2.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,589.979,328.61,261.369
travel-simplified,43,True,False,1.0,False,False,0.0,False,False,0.0,5,9,-4.0,1,0,1.0,5,6,-1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,3,-3.0,0,0,0.0,False,False,0.0,5.88,4.25,1.63,332.574,821.538,-488.964
travel-simplified,44,True,True,0.0,True,False,1.0,True,True,0.0,8,14,-6.0,2,0,2.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,7,-7.0,6,5,1.0,False,False,0.0,10.0,6.62,3.38,645.84,573.138,72.702
travel-simplified,45,True,False,1.0,True,False,1.0,True,False,1.0,8,36,-28.0,1,0,1.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,28,-28.0,6,0,6.0,False,False,0.0,10.0,4.0,6.0,760.431,297.67,462.761
travel-simplified,46,True,True,0.0,True,False,1.0,True,True,0.0,8,13,-5.0,2,0,2.0,8,8,0.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,5,-5.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,708.53,582.426,126.104
travel-simplified,47,True,True,0.0,True,False,1.0,True,True,0.0,8,8,0.0,1,0,1.0,8,8,0.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,6,0.0,False,False,0.0,10.0,7.0,3.0,676.537,395.006,281.531
travel-simplified,48,True,False,1.0,True,False,1.0,True,False,1.0,8,5,3.0,2,0,2.0,8,5,3.0,0,1,-1.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,3.5,6.5,572.637,181.611,391.026
travel-simplified,49,True,True,0.0,True,False,1.0,True,False,1.0,8,2,6.0,2,0,2.0,8,1,7.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,True,-1.0,10.0,3.38,6.62,892.0,85.119,806.881
travel-simplified,50,True,True,0.0,True,False,1.0,True,True,0.0,8,6,2.0,1,0,1.0,8,6,2.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,5,1.0,False,False,0.0,10.0,6.25,3.75,648.123,332.004,316.119
travel-simplified,51,False,False,0.0,False,False,0.0,False,False,0.0,7,10,-3.0,2,0,2.0,7,6,1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,4,-4.0,0,0,0.0,False,False,0.0,4.62,4.25,0.37,574.955,481.435,93.52
travel-simplified,52,True,True,0.0,False,False,0.0,True,True,0.0,5,12,-7.0,1,0,1.0,5,6,-1.0,0,0,0.0,False,False,0.0,False,True,-1.0,0,6,-6.0,4,5,-1.0,False,False,0.0,5.88,6.25,-0.37,578.294,468.254,110.04
travel-simplified,53,True,False,1.0,True,False,1.0,True,False,1.0,8,4,4.0,2,0,2.0,8,3,5.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,3.12,6.88,586.978,220.763,366.215
travel-simplified,54,True,True,0.0,True,False,1.0,True,True,0.0,8,7,1.0,2,0,2.0,8,7,1.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,5,1.0,False,False,0.0,10.0,6.62,3.38,595.9,443.651,152.249
travel-simplified,55,True,False,1.0,True,False,1.0,True,False,1.0,8,1,7.0,2,0,2.0,8,1,7.0,0,0,0.0,True,False,1.0,False,False,0.0,0,0,0.0,6,0,6.0,False,False,0.0,10.0,2.38,7.62,538.616,161.779,376.837
travel-simplified,56,True,True,0.0,True,False,1.0,True,True,0.0,8,16,-8.0,2,0,2.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,9,-9.0,6,5,1.0,False,False,0.0,10.0,6.62,3.38,705.538,937.522,-231.984
travel-simplified,57,True,True,0.0,True,False,1.0,True,True,0.0,8,9,-1.0,2,0,2.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,2,-2.0,6,5,1.0,False,False,0.0,10.0,6.62,3.38,634.425,400.593,233.832
travel-simplified,58,True,False,1.0,True,False,1.0,True,False,1.0,8,6,2.0,2,0,2.0,8,5,3.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,1,-1.0,6,0,6.0,False,False,0.0,10.0,3.88,6.12,631.502,366.961,264.541
travel-simplified,59,True,True,0.0,True,False,1.0,True,True,0.0,8,11,-3.0,1,0,1.0,8,7,1.0,0,0,0.0,True,False,1.0,False,True,-1.0,0,4,-4.0,6,5,1.0,False,False,0.0,10.0,6.62,3.38,638.495,612.952,25.543
